policy_id,customer_age,customer_education,months_as_customer,policy_deductable,policy_annual_premium,policy_liability,auto_year,num_claims_past_year,num_insurers_past_5_years,customer_gender_male,customer_gender_female,policy_state_ca,policy_state_wa,policy_state_az,policy_state_or,policy_state_nv,policy_state_id
1,54,2,381,750,3000,1,2019,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,41,3,31,750,3000,3,2017,0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,57,3,84,750,3000,3,2014,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,74,4,123,750,2600,2,2018,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,39,1,34,750,3000,2,2019,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,39,3,51,750,3000,2,2015,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,59,1,164,750,3000,2,2016,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,35,3,69,750,2950,2,2019,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,55,4,201,750,3000,1,2019,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,35,2,88,750,3000,2,2013,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,35,4,89,750,2700,1,2019,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,49,3,157,750,3000,0,2018,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,33,4,104,750,3000,1,2020,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,24,3,35,750,3000,0,2020,0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,50,1,28,750,3000,2,2015,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,26,1,45,750,3000,0,2016,0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,73,3,179,750,3000,1,2017,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,39,1,106,750,2800,1,2019,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,45,3,114,750,3000,0,2015,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,33,3,93,750,2950,0,2015,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
21,46,4,79,750,3000,1,2017,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,21,3,20,750,3000,1,2020,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,52,3,98,750,3000,1,2016,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,32,4,34,750,2750,1,2018,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,38,4,7,750,2650,0,2012,0,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
26,32,1,80,750,3000,3,2016,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,44,3,29,750,3000,0,2020,0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,23,2,14,750,3000,0,2020,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,60,3,47,750,2300,1,2008,0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
30,20,2,3,750,2800,1,2015,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,48,4,4,750,3000,3,2015,0,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
32,48,3,39,750,3000,0,2014,0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
33,59,3,52,750,3000,0,2017,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,47,4,54,750,3000,0,2017,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
35,42,1,55,750,3000,2,2015,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,38,3,85,750,2800,1,2017,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
37,30,3,33,750,3000,2,2016,0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,35,1,46,750,3000,2,2013,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,65,3,245,750,3000,2,2016,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,51,1,117,750,2700,0,2014,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
41,50,4,102,750,3000,0,2017,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,36,2,83,750,2750,0,2017,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,30,2,77,750,2900,1,2015,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,56,3,447,750,3000,2,2017,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,65,1,106,750,3000,2,2018,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,63,2,184,750,2950,1,2004,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,27,3,12,750,3000,0,2020,0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,38,2,127,750,2550,3,2014,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,51,3,129,750,3000,1,2013,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,64,3,197,750,2750,2,2015,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,34,3,94,750,2900,0,2014,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52,40,3,102,750,3000,1,2012,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
53,22,2,14,750,3000,0,2014,0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,20,1,32,750,3000,1,2019,0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
55,60,3,200,750,3000,1,2018,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
56,71,4,6,750,3000,0,2013,1,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,43,1,116,750,3000,2,2015,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
58,64,3,281,750,3000,2,2015,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
59,51,3,64,750,3000,3,2020,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,31,3,48,750,2700,1,2017,0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61,51,3,132,750,3000,2,2016,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,75,1,370,750,3000,2,2018,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,43,3,169,750,3000,0,2016,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
64,75,1,80,750,3000,2,2018,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,60,3,46,750,2800,0,2017,0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66,46,4,75,750,3000,1,2018,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67,38,3,137,750,3000,1,2012,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68,46,1,250,750,3000,2,2019,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,40,4,80,750,3000,2,2017,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
70,51,4,15,750,3000,1,2018,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
71,74,3,112,750,2700,0,2017,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,34,3,71,750,3000,1,2017,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
