,policy_id,incident_type_theft,policy_state_ca,policy_deductable,num_witnesses,policy_state_or,incident_month,customer_gender_female,num_insurers_past_5_years,customer_gender_male,total_claim_amount,authorities_contacted_police,incident_day,collision_type_side,customer_age,customer_education,driver_relationship_child,driver_relationship_spouse,injury_claim,incident_dow,collision_type_na,incident_severity,driver_relationship_self,num_claims_past_year,months_as_customer,auto_year,num_vehicles_involved,policy_state_nv,authorities_contacted_ambulance,num_injuries,policy_liability,police_report_available,driver_relationship_na,incident_type_breakin,authorities_contacted_none,authorities_contacted_fire,driver_relationship_other,policy_state_id,incident_hour,vehicle_claim,fraud,incident_type_collision,policy_annual_premium,policy_state_az,policy_state_wa,collision_type_rear,collision_type_front
0,1675,0,0,750,0,0,2,0,1,0,12000.0,1,14,0,61,4,0,0,0.0,3,1,0,0,0,135,2020,1,0,0,0,1,0,1,1,0,0,0,0,20,12000.0,0,0,3000,1,0,0,0
1,9,0,0,750,0,0,9,0,1,1,18500.0,0,21,1,55,4,0,1,0.0,5,0,0,0,0,201,2019,2,1,0,0,1,0,0,0,1,0,0,0,15,18500.0,0,1,3000,0,0,0,0
2,1687,0,1,750,0,0,7,1,1,0,17500.0,1,18,1,42,1,1,0,0.0,3,0,1,0,0,80,2014,2,0,0,0,1,0,0,0,0,0,0,0,16,17500.0,0,1,3000,0,0,0,0
3,1687,0,1,750,0,0,7,0,1,1,17500.0,1,18,1,54,1,1,0,0.0,3,0,1,0,0,72,2017,2,0,0,0,1,0,0,0,0,0,0,0,16,17500.0,0,1,3000,0,0,0,0
4,1692,0,0,750,2,0,6,1,1,0,26000.0,1,5,0,63,3,0,0,4500.0,2,0,2,1,0,80,2020,5,0,0,4,2,1,0,0,0,0,0,0,8,21500.0,0,1,2800,1,0,0,1
5,24,0,0,750,3,0,3,0,1,1,59000.0,1,6,0,32,4,0,0,25000.0,2,0,2,1,0,34,2018,3,1,0,1,1,1,0,0,0,0,0,0,8,34000.0,0,1,2750,0,0,0,1
6,35,0,1,750,3,0,8,0,1,1,44000.0,1,17,0,42,1,0,0,9000.0,5,0,2,1,0,55,2015,3,0,0,1,2,1,0,0,0,0,0,0,16,35000.0,0,1,3000,0,0,0,1
7,1709,0,0,750,1,0,12,1,1,0,12500.0,0,9,0,57,4,1,0,0.0,0,0,0,0,0,93,2019,2,0,0,0,3,0,0,0,1,0,0,0,7,12500.0,0,1,3000,0,1,1,0
8,3344,0,1,750,0,0,3,1,1,0,33500.0,1,7,0,49,0,0,0,2000.0,3,0,2,1,0,90,2014,3,0,0,1,0,1,0,0,0,0,0,0,20,31500.0,0,1,3000,0,0,1,0
9,3344,0,0,750,0,0,3,0,1,1,33500.0,1,7,0,59,0,0,0,2000.0,3,0,2,1,0,214,2015,3,0,0,1,0,1,0,0,0,0,0,0,20,31500.0,0,1,3000,1,0,1,0
10,1725,0,1,750,1,0,9,1,1,0,37000.0,0,7,0,37,2,0,0,0.0,5,0,2,1,0,117,2015,2,0,0,0,0,0,0,0,0,1,0,0,1,37000.0,0,1,3000,0,0,0,1
11,52,0,1,750,0,0,10,0,3,0,12000.0,1,10,0,20,3,0,0,0.0,3,1,1,0,0,2,2017,1,0,0,0,0,0,1,1,0,0,0,0,8,12000.0,0,0,3000,0,0,0,0
12,3347,0,1,750,1,0,6,0,1,1,26500.0,1,28,0,69,4,1,0,8000.0,4,0,1,0,0,91,2017,2,0,0,2,0,1,0,0,0,0,0,0,17,18500.0,0,1,3000,0,0,0,1
13,3351,0,0,750,1,1,4,0,2,1,5000.0,1,4,0,39,2,0,1,0.0,3,0,0,0,1,34,2018,3,0,0,0,1,1,0,0,0,0,0,0,16,5000.0,0,1,3000,0,0,0,1
14,60,0,0,750,0,0,3,0,2,1,13500.0,0,14,0,31,3,0,0,0.0,3,0,0,0,0,48,2017,2,1,0,0,1,0,0,0,1,0,1,0,6,13500.0,0,1,2700,0,0,0,1
15,61,0,1,750,1,0,1,1,1,0,19500.0,1,19,0,46,3,0,0,0.0,5,0,1,1,0,148,2018,2,0,0,0,1,1,0,0,0,0,0,0,16,19500.0,0,1,3000,0,0,0,1
16,61,0,0,750,1,1,1,0,1,1,19500.0,1,19,0,51,3,0,0,0.0,5,0,1,1,0,132,2016,2,0,0,0,2,1,0,0,0,0,0,0,16,19500.0,0,1,3000,0,0,0,1
17,1736,0,1,750,0,0,1,1,1,0,64500.0,1,15,0,60,2,0,1,20500.0,1,0,2,0,0,137,2018,3,0,0,4,0,1,0,0,0,0,0,0,14,44000.0,0,1,2600,0,0,1,0
18,1740,0,0,750,0,0,2,1,1,0,30500.0,1,1,0,55,4,0,0,13500.0,4,0,1,1,0,117,2014,2,0,0,1,0,0,0,0,0,0,0,0,9,17000.0,0,1,2850,1,0,0,1
19,3361,0,0,750,1,0,5,0,1,1,40000.0,1,10,0,55,3,0,0,5500.0,4,0,2,1,0,110,2018,3,0,0,1,2,1,0,0,0,0,0,0,18,34500.0,0,1,2700,0,1,1,0
20,75,0,1,750,0,0,8,0,4,1,68000.0,0,27,0,30,3,1,0,45000.0,1,0,2,0,0,33,2015,2,0,0,1,2,0,0,0,0,1,0,0,12,23000.0,0,1,3000,0,0,1,0
21,1750,0,1,750,2,0,5,0,3,1,7500.0,0,6,0,34,3,1,0,0.0,0,0,0,0,0,7,2011,2,0,0,0,0,0,0,0,1,0,0,0,16,7500.0,0,1,3000,0,0,0,1
22,3366,0,0,750,1,0,10,0,1,1,36500.0,1,3,0,42,1,0,0,0.0,3,0,2,1,0,60,2016,3,0,0,0,0,1,0,0,0,0,0,0,23,36500.0,0,1,3000,1,0,1,0
