fraud,incident_type_theft,policy_state_ca,policy_deductable,num_witnesses,policy_state_or,incident_month,customer_gender_female,num_insurers_past_5_years,customer_gender_male,total_claim_amount,authorities_contacted_police,incident_day,collision_type_side,customer_age,customer_education,driver_relationship_child,driver_relationship_spouse,injury_claim,incident_dow,collision_type_na,incident_severity,driver_relationship_self,num_claims_past_year,months_as_customer,auto_year,num_vehicles_involved,policy_state_nv,authorities_contacted_ambulance,num_injuries,policy_liability,police_report_available,driver_relationship_na,incident_type_breakin,authorities_contacted_none,authorities_contacted_fire,driver_relationship_other,policy_state_id,incident_hour,vehicle_claim,incident_type_collision,policy_annual_premium,policy_state_az,policy_state_wa,collision_type_rear,collision_type_front
0,0,1,750,2,0,5,1,1,0,48674.0,1,28,0,58,3,0,0,20900.0,1,0,1,1,0,145,2016,2,0,0,0,1,1,0,0,0,0,0,0,18,27774.0,1,3000,0,0,1,0
0,0,1,750,2,0,6,1,1,0,24000.0,0,26,0,28,2,0,0,0.0,2,0,2,1,0,106,2019,2,0,0,0,1,0,0,0,0,1,0,0,20,24000.0,1,3000,0,0,1,0
0,0,1,750,2,0,6,0,1,1,38152.0,1,17,0,28,4,0,0,6700.0,0,0,2,1,0,112,2015,3,0,0,1,1,1,0,0,0,0,0,0,9,31452.0,1,2850,0,0,1,0
0,0,1,750,2,0,11,1,1,0,48953.0,1,1,0,34,4,0,0,34800.0,4,0,1,1,0,78,2017,2,0,0,0,0,1,0,0,0,0,0,0,21,14153.0,1,2900,0,0,0,1
0,0,0,750,0,0,8,0,1,0,6000.0,0,23,0,21,3,0,1,0.0,4,0,0,0,0,35,2017,2,1,0,0,2,0,0,0,1,0,0,0,10,6000.0,1,3000,0,0,0,1
0,0,0,750,1,0,3,0,2,1,20500.0,1,11,0,26,4,0,0,0.0,0,0,2,1,0,17,2008,4,0,0,0,2,1,0,0,0,0,0,0,16,20500.0,1,3000,0,1,1,0
0,0,1,750,0,0,10,0,1,1,13500.0,0,14,1,23,4,0,0,0.0,0,0,0,1,0,27,2007,2,0,0,0,2,0,0,0,1,0,0,0,13,13500.0,1,3000,0,0,0,0
0,0,1,750,1,0,10,0,1,1,49500.0,1,25,0,54,4,0,0,18500.0,4,0,2,1,0,55,2017,3,0,0,1,3,1,0,0,0,0,0,0,9,31000.0,1,3000,0,0,0,1
0,0,1,750,3,0,12,0,1,1,61596.0,1,13,0,28,1,0,0,25100.0,4,0,2,1,0,89,2012,3,0,0,1,3,1,0,0,0,0,0,0,5,36496.0,1,3000,0,0,0,1
0,0,1,750,2,0,12,0,4,1,15000.0,0,16,0,42,3,0,0,0.0,0,0,0,1,0,16,2020,2,0,0,0,0,0,0,0,1,0,0,0,8,15000.0,1,2700,0,0,0,1
0,0,1,750,2,0,1,1,4,0,11000.0,1,23,1,45,1,0,0,0.0,2,0,1,1,0,13,2015,3,0,0,0,2,1,0,0,0,0,0,0,7,11000.0,1,2950,0,0,0,0
0,0,1,750,2,0,12,1,3,0,38227.0,1,30,0,28,3,0,0,18600.0,0,0,1,1,0,42,2016,2,0,0,2,0,1,0,0,0,0,0,0,18,19627.0,1,3000,0,0,0,1
0,0,1,750,3,0,2,1,1,0,45500.0,1,1,0,25,3,0,0,11500.0,4,0,2,1,0,45,2020,3,0,0,1,1,1,0,0,0,0,0,0,7,34000.0,1,3000,0,0,0,1
0,0,1,750,0,0,9,0,1,1,14000.0,1,2,0,55,3,0,0,0.0,0,0,1,1,0,149,2014,3,0,0,0,0,1,0,0,0,0,0,0,7,14000.0,1,3000,0,0,0,1
0,0,1,750,1,0,1,1,4,0,44318.0,1,31,0,47,2,0,0,10300.0,3,0,2,1,0,19,2011,3,0,0,1,0,1,0,0,0,0,0,0,5,34018.0,1,3000,0,0,1,0
0,0,0,750,2,0,6,0,3,1,43500.0,1,25,0,23,4,0,0,15000.0,1,0,2,1,0,21,2017,2,1,0,1,2,1,0,0,0,0,0,0,10,28500.0,1,2850,0,0,1,0
0,0,1,750,0,0,4,1,1,0,18000.0,0,20,0,19,1,0,0,0.0,5,0,0,1,0,10,2014,2,0,0,0,2,0,0,0,1,0,0,0,20,18000.0,1,3000,0,0,1,0
0,0,0,750,2,1,12,0,1,0,31000.0,1,19,0,54,3,0,0,0.0,3,0,2,1,0,145,2018,2,0,0,0,2,0,0,0,0,0,0,0,16,31000.0,1,3000,0,0,0,1
0,0,0,750,5,0,1,0,1,1,85736.0,1,8,0,50,4,0,1,43400.0,1,0,2,0,0,17,2014,3,0,0,3,2,1,0,0,0,0,0,0,10,42336.0,1,3000,0,1,1,0
0,0,1,750,0,0,7,0,1,1,23465.0,1,27,1,70,0,0,0,12800.0,5,0,0,1,0,251,2011,2,0,0,0,2,1,0,0,0,0,0,0,12,10665.0,1,3000,0,0,0,0
0,0,0,750,1,0,2,0,1,1,1000.0,1,8,0,65,1,0,0,0.0,4,0,1,1,0,69,2018,2,0,0,0,0,1,0,0,0,0,0,0,6,1000.0,1,3000,1,0,0,1
0,0,1,750,2,0,8,1,1,0,6500.0,1,17,1,66,2,0,0,0.0,5,0,0,1,0,213,2017,3,0,0,0,1,1,0,0,0,0,0,0,8,6500.0,1,2850,0,0,0,0
0,0,1,750,0,0,1,0,1,1,10500.0,1,1,0,54,3,0,0,0.0,1,1,1,0,0,67,2013,1,0,0,0,0,0,1,1,0,0,0,0,20,10500.0,0,3000,0,0,0,0
0,0,1,750,0,0,10,1,1,0,61535.0,1,16,0,46,3,0,0,47900.0,2,1,0,0,0,96,2019,1,0,0,0,0,0,1,1,0,0,0,0,11,13635.0,0,3000,0,0,0,0
0,0,1,750,0,0,8,0,1,1,16810.0,1,12,0,48,3,0,0,5400.0,0,1,0,0,0,189,2017,1,0,0,0,1,0,1,1,0,0,0,0,11,11410.0,0,3000,0,0,0,0
0,0,1,750,3,0,1,1,1,0,43329.0,1,13,0,45,4,0,0,7100.0,6,0,2,1,0,31,2017,4,0,0,2,0,1,0,0,0,0,0,0,13,36229.0,1,3000,0,0,0,1
0,0,1,750,0,0,5,1,1,0,11000.0,1,29,0,61,3,0,0,0.0,2,1,0,0,0,148,2020,1,0,0,0,1,0,1,1,0,0,0,0,13,11000.0,0,3000,0,0,0,0
0,0,1,750,4,0,11,0,1,1,34807.0,1,25,0,56,3,0,0,5200.0,0,0,2,1,0,255,2013,4,0,0,2,0,1,0,0,0,0,0,0,8,29607.0,1,3000,0,0,0,1
0,0,0,750,0,0,2,0,1,1,38605.0,1,20,0,52,3,1,0,33000.0,2,0,1,0,1,86,2017,1,1,0,1,2,0,0,0,0,0,0,0,5,5605.0,1,3000,0,0,0,1
0,0,1,750,0,0,11,0,1,1,14620.0,0,19,0,33,3,0,0,8800.0,1,0,0,1,0,63,2018,1,0,0,0,2,0,0,0,1,0,0,0,1,5820.0,1,3000,0,0,0,1
0,0,0,750,3,0,4,1,1,0,38405.0,0,6,0,46,3,0,0,16700.0,5,0,0,1,0,222,2013,2,0,0,0,3,0,0,0,1,0,0,0,12,21705.0,1,2450,1,0,1,0
0,0,1,750,1,0,10,0,1,1,14000.0,0,31,0,66,1,0,0,0.0,3,0,0,1,0,211,2019,2,0,0,0,0,0,0,0,1,0,0,0,19,14000.0,1,3000,0,0,1,0
0,0,0,750,0,0,5,0,1,1,30941.0,0,17,0,24,4,0,0,11000.0,4,0,1,1,0,54,2020,2,0,1,0,1,0,0,0,0,0,0,0,8,19941.0,1,2850,0,1,0,1
0,1,1,750,0,0,8,0,1,1,13500.0,1,23,0,73,4,0,0,0.0,4,1,1,0,0,165,2017,1,0,0,0,0,0,1,0,0,0,0,0,6,13500.0,0,3000,0,0,0,0
0,0,1,750,0,0,6,0,1,1,24000.0,0,30,0,48,3,0,0,9500.0,6,0,1,1,0,96,2016,2,0,1,1,1,0,0,0,0,0,0,0,14,14500.0,1,3000,0,0,0,1
0,0,1,750,0,0,1,0,1,1,48512.0,0,20,0,48,3,0,0,40000.0,6,0,1,1,0,9,2014,2,0,1,1,0,0,0,0,0,0,0,0,3,8512.0,1,3000,0,0,0,1
0,0,0,750,1,0,10,0,1,1,95090.0,1,30,0,51,3,0,0,69700.0,2,0,2,1,0,64,2020,3,0,0,4,3,1,0,0,0,0,0,0,10,25390.0,1,3000,1,0,0,1
1,0,0,750,0,0,5,1,2,0,28500.0,1,25,0,37,3,0,1,0.0,5,0,2,0,0,39,2016,1,0,0,0,1,0,0,0,0,0,0,0,11,28500.0,1,3000,0,1,0,1
0,0,1,750,0,0,7,0,1,1,90021.0,1,19,0,63,1,0,0,68700.0,4,0,1,1,0,133,2016,2,0,0,0,0,1,0,0,0,0,0,0,14,21321.0,1,3000,0,0,1,0
1,0,0,750,1,0,11,0,2,1,10850.0,1,21,0,32,3,0,0,4600.0,3,0,2,1,0,23,2016,3,1,0,0,3,1,0,0,0,0,0,0,18,6250.0,1,2600,0,0,0,1
0,0,1,750,0,0,11,0,1,1,15000.0,1,11,0,43,3,0,0,0.0,0,0,1,0,1,113,2017,2,0,0,0,0,0,0,0,0,0,1,0,6,15000.0,1,3000,0,0,1,0
0,0,0,750,0,0,12,0,1,1,18000.0,1,31,0,38,2,0,0,0.0,1,0,1,1,0,127,2014,2,0,0,0,3,1,0,0,0,0,0,0,12,18000.0,1,2550,0,1,1,0
0,0,1,750,1,0,4,0,1,1,15500.0,1,7,1,32,4,0,0,0.0,6,0,1,1,0,139,2019,3,0,0,0,2,1,0,0,0,0,0,0,20,15500.0,1,2700,0,0,0,0
0,0,0,750,0,1,2,0,3,1,14000.0,1,18,1,35,3,0,0,0.0,0,0,1,1,0,30,2015,2,0,0,0,2,1,0,0,0,0,0,0,3,14000.0,1,3000,0,0,0,0
0,0,1,750,2,0,10,0,1,1,44671.0,1,13,1,30,3,0,0,26800.0,6,0,1,1,0,72,2020,2,0,0,3,1,0,0,0,0,0,0,0,14,17871.0,1,3000,0,0,0,0
