Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),BASEMENT_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),CORE_BOTTOM_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),CORE_MID_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),CORE_TOP_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_1_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_2_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_3_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_4_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_1_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_2_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_3_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_4_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_1_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_2_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_3_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_4_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),EMS:currentDayOfMonth [](TimeStep),EMS:currentDayOfWeek [](TimeStep),EMS:currentTimeOfDay [](TimeStep),EMS:currentHoliday [](TimeStep),BASEMENT:Zone Air Temperature [C](TimeStep),CORE_BOTTOM:Zone Air Temperature [C](TimeStep),CORE_MID:Zone Air Temperature [C](TimeStep),CORE_TOP:Zone Air Temperature [C](TimeStep),GROUNDFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),MIDFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_4:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_4:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_4:Zone Air Temperature [C](TimeStep),TOPFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),Whole Building:Facility Total Building Electric Demand Power [W](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),HW-LOOP-TEMP-SCHEDULE:Schedule Value [](TimeStep),CW-LOOP-TEMP-SCHEDULE:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),BLDG_LIGHT_SCH:Schedule Value [](TimeStep),COOLSYS1 CHILLER 1:Chiller Evaporator Outlet Temperature [C](TimeStep),COOLSYS1 CHILLER 2:Chiller Evaporator Outlet Temperature [C](TimeStep),HEATSYS1 BOILER:Boiler Outlet Temperature [C](TimeStep) 
 07/01  00:05:00,22.7333333333333,20.2498447537494,80.1666666666667,2.30833333333333,178.333333333333,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,8.333333333333333E-002,0.0,24.2659606464176,24.9542076981998,25.0065156945292,25.1297709651991,24.9045811556144,24.8596222387064,24.671883983324,23.8159880031848,24.6859493713539,23.9265447426517,24.6083487809686,23.6179040955027,24.683908286526,23.7985199074554,24.7759233681343,23.9421863138272,24.7974982164778,23.9105904238096,24.7910395913756,237926.742540856,2.25806840932673,237929.000609266,15.6,82.2,6.7,27.,5.000000000000000E-002,9.54761377125094,9.54761377125094,76.6966489883692 
 07/01  00:10:00,22.7666666666667,20.171290993682,79.3333333333333,2.51666666666667,186.666666666667,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.166666666666667,0.0,24.4797573131298,25.1863574313815,25.250896793541,25.4010471426287,25.0113409216575,24.972162759495,24.9109717534094,24.2113705596962,24.8956574397283,24.3558464247686,24.8637972456045,24.0168066960549,24.9005448174747,24.2389130781678,25.0323228150836,24.3343627552083,25.0243322772905,24.359512214727,24.8578590163477,237926.742540856,2.25599624372456,237928.9985371,15.6,82.2,6.7,27.,5.000000000000000E-002,9.54761377125094,9.54761377125094,76.6966489883692 
 07/01  00:15:00,22.8,20.0920880576265,78.5,2.725,195.,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.25,0.0,24.6457167502351,25.3946853546549,25.466298022121,25.6340301959651,25.0996520148594,25.0648734556967,25.0868217590242,24.4995923488348,25.0496516309147,24.6656697354222,25.0492141276777,24.3047573618691,25.057858307482,24.5530621218612,25.2155137694188,24.6126921373536,25.1861911678376,24.6764849889319,24.9012087355296,237926.742540856,2.25447993950226,237928.997020796,15.6,82.2,6.7,27.,5.000000000000000E-002,9.54761377125094,9.54761377125094,76.6966489883692 
 07/01  00:20:00,22.8333333333333,20.0122132707474,77.6666666666667,2.93333333333333,203.333333333333,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.333333333333333,0.0,24.736429560333,25.5302674513309,25.6034612467554,25.7758986034621,25.1490124087731,25.1165546018311,25.1776669739433,24.6486540534526,25.1287741380377,24.8247754833895,25.1432221220436,24.4529146874469,25.1373398973798,24.7118074608602,25.3062353409575,24.7522847457292,25.2659311230263,24.8344014810655,24.9214743009105,237926.742540856,2.25343477127588,237928.995975628,15.6,82.2,6.7,27.,5.000000000000000E-002,9.54761377125094,9.54761377125094,76.6966489883692 
 07/01  00:25:00,22.8666666666667,19.9316656965657,76.8333333333333,3.14166666666667,211.666666666667,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.416666666666667,0.0,24.7966521724634,25.6307573603125,25.7064836352412,25.8878877420726,25.1874116953467,25.1566815363316,25.2465190098773,24.761667142854,25.1882170202393,24.9434460313917,25.2127848945597,24.5664399783201,25.1958107821368,24.82898050368,25.3716948585558,24.8548399844097,25.3230790350991,24.9492723264212,24.9359854597543,237926.742540856,2.25286074401649,237928.9954016,15.6,82.2,6.7,27.,5.000000000000000E-002,9.54761377125094,9.54761377125094,76.6966489883692 
 07/01  00:30:00,22.9,19.8504550328849,76.,3.35,220.,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.5,0.0,24.8357986332026,25.7039585164304,25.7823401719958,25.9702460843653,25.2184410223797,25.1890437943271,25.3036601270288,24.8526630361397,25.2369780238731,25.0379977142449,25.2682452277641,24.6585602435098,25.2419907502673,24.921479800376,25.4221087135245,24.9366046154805,25.366726542508,25.0381376146607,24.9475963264397,237926.742540856,2.25273230254219,237928.995273159,15.6,82.2,6.7,27.,5.000000000000000E-002,9.54761377125094,9.54761377125094,76.6966489883692 
 07/01  00:35:00,22.9333333333333,19.7685478079369,75.1666666666667,3.55833333333333,228.333333333333,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.583333333333333,0.0,24.8608251475946,25.7577183888848,25.8386824900062,26.0308019192967,25.2443247154173,25.2159788374266,25.3513743203807,24.9262407368701,25.2781828410326,25.1173102224197,25.3157858596681,24.7353276585615,25.2806877382759,24.999988867721,25.4630196312912,25.0043241938199,25.4017682290457,25.1113552165078,24.9574707295814,237926.742540856,2.25302600571011,237928.995566862,15.6,82.2,6.7,27.,5.000000000000000E-002,9.54761377125094,9.54761377125094,76.6966489883692 
 07/01  00:40:00,22.9666666666667,19.6859534820878,74.3333333333333,3.76666666666667,236.666666666667,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.666666666666667,0.0,24.8765253896894,25.7979716271995,25.8813940734143,26.075988957772,25.2664532562623,25.2389444469289,25.3898725177784,24.9880630006221,25.3128429492864,25.1839520090695,25.3564702634026,24.7984535505778,25.3140504814864,25.0685904289555,25.4975437117251,25.062554955245,25.4309307154776,25.1745395023195,24.966321088804,237926.742540856,2.25372031078362,237928.996261167,15.6,82.2,6.7,27.,5.000000000000000E-002,9.54761377125094,9.54761377125094,76.6966489883692 
 07/01  00:45:00,23.,19.6026694467392,73.5,3.975,245.,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.75,0.0,24.8861045095954,25.828871328709,25.9146402483069,26.1104798974277,25.285768427048,25.2589208833309,25.421268223408,25.0407779801316,25.3415059594662,25.2407490360738,25.3904855606805,24.8512611960151,25.3432540659883,25.1276682823153,25.5278547144327,25.1126565880924,25.4562014107346,25.2304783037527,24.9743169237165,237926.742540856,2.25479538418482,237928.99733624,15.6,82.2,6.7,27.,5.000000000000000E-002,9.54761377125094,9.54761377125094,76.6966489883692 
 07/01  00:50:00,23.0333333333333,19.5186647384434,72.6666666666667,4.18333333333333,253.333333333333,11501.706246505,8174.33929424832,8174.33929424832,8174.33929424832,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1011.7187554464,651.97578206952,1011.6966326712,651.97578206952,1.,7.,0.833333333333333,0.0,24.8916774117187,25.8532382112799,25.941273426739,26.1375072130954,25.3029614469822,25.2766014733317,25.4473853156894,25.085899275276,25.3654931776464,25.2888422714304,25.4191859308289,24.8962870268944,25.3683535141274,25.1779299583456,25.5546836389975,25.1557782232265,25.4783925456565,25.27989933616,24.981634184302,237926.742540856,2.256232934911,237928.998773791,15.6,82.2,6.7,27.,5.000000000000000E-002,9.54761377125094,9.54761377125094,76.6966489883692 
