Time,VAV_1:Des Heat Mass Flow [kg/s],VAV_1:Des Cool Mass Flow [kg/s],VAV_1:Des Heat Cap [W],VAV_1:Des Sens Cool Cap [W],VAV_2:Des Heat Mass Flow [kg/s],VAV_2:Des Cool Mass Flow [kg/s],VAV_2:Des Heat Cap [W],VAV_2:Des Sens Cool Cap [W],VAV_3:Des Heat Mass Flow [kg/s],VAV_3:Des Cool Mass Flow [kg/s],VAV_3:Des Heat Cap [W],VAV_3:Des Sens Cool Cap [W],VAV_5:Des Heat Mass Flow [kg/s],VAV_5:Des Cool Mass Flow [kg/s],VAV_5:Des Heat Cap [W],VAV_5:Des Sens Cool Cap [W] 
00:05:00,3.870569E+00,7.989600E+00,1.129368E+05,8.528798E+04,4.140871E+01,8.282614E+01,1.137934E+06,8.858550E+05,5.412964E+00,8.903463E+00,9.485770E+04,9.557243E+04,1.414254E+00,4.612752E+00,5.300796E+04,4.960051E+04 
00:10:00,3.869130E+00,7.964931E+00,1.129315E+05,8.485837E+04,4.139002E+01,8.254750E+01,1.137884E+06,8.811994E+05,5.415995E+00,8.855443E+00,9.484462E+04,9.488004E+04,1.414254E+00,4.605865E+00,5.300796E+04,4.944701E+04 
00:15:00,3.867693E+00,7.940327E+00,1.129262E+05,8.442949E+04,4.137135E+01,8.226995E+01,1.137834E+06,8.765561E+05,5.418996E+00,8.807682E+00,9.483166E+04,9.419058E+04,1.414254E+00,4.598971E+00,5.300796E+04,4.929342E+04 
00:20:00,3.866258E+00,7.915811E+00,1.129208E+05,8.400161E+04,4.135271E+01,8.199377E+01,1.137783E+06,8.719282E+05,5.421956E+00,8.760215E+00,9.481888E+04,9.350442E+04,1.414254E+00,4.592072E+00,5.300796E+04,4.913977E+04 
00:25:00,3.864825E+00,7.891399E+00,1.129155E+05,8.357491E+04,4.133408E+01,8.171913E+01,1.137733E+06,8.673178E+05,5.424873E+00,8.713062E+00,9.480628E+04,9.282181E+04,1.414254E+00,4.585169E+00,5.300796E+04,4.898608E+04 
00:30:00,3.863395E+00,7.867103E+00,1.129102E+05,8.314951E+04,4.131547E+01,8.144616E+01,1.137682E+06,8.627261E+05,5.427746E+00,8.666237E+00,9.479387E+04,9.214288E+04,1.414254E+00,4.578265E+00,5.300796E+04,4.883237E+04 
00:35:00,3.863487E+00,7.854846E+00,1.129105E+05,8.285959E+04,4.131656E+01,8.129537E+01,1.137685E+06,8.595094E+05,5.430578E+00,8.629306E+00,9.478164E+04,9.157531E+04,1.414254E+00,4.576387E+00,5.300796E+04,4.873524E+04 
00:40:00,3.863578E+00,7.842904E+00,1.129109E+05,8.257322E+04,4.131765E+01,8.114821E+01,1.137688E+06,8.563336E+05,5.433366E+00,8.592910E+00,9.476960E+04,9.101374E+04,1.414254E+00,4.574585E+00,5.300796E+04,4.863895E+04 
00:45:00,3.863670E+00,7.831099E+00,1.129112E+05,8.228839E+04,4.131874E+01,8.100286E+01,1.137691E+06,8.531781E+05,5.436113E+00,8.556860E+00,9.475774E+04,9.045607E+04,1.414254E+00,4.572803E+00,5.300796E+04,4.854288E+04 
00:50:00,3.863761E+00,7.819408E+00,1.129116E+05,8.200483E+04,4.131983E+01,8.085908E+01,1.137694E+06,8.500401E+05,5.438818E+00,8.521128E+00,9.474605E+04,8.990196E+04,1.414254E+00,4.571038E+00,5.300796E+04,4.844701E+04 
00:55:00,3.863853E+00,7.807811E+00,1.129119E+05,8.172232E+04,4.132091E+01,8.071667E+01,1.137697E+06,8.469175E+05,5.441483E+00,8.485691E+00,9.473455E+04,8.935117E+04,1.414254E+00,4.569288E+00,5.300796E+04,4.835131E+04 
01:00:00,3.863944E+00,7.796296E+00,1.129122E+05,8.144073E+04,4.132200E+01,8.057552E+01,1.137700E+06,8.438090E+05,5.444107E+00,8.450533E+00,9.472321E+04,8.880351E+04,1.414254E+00,4.567552E+00,5.300796E+04,4.825576E+04 
01:05:00,3.864035E+00,7.785058E+00,1.129126E+05,8.121294E+04,4.132309E+01,8.043760E+01,1.137703E+06,8.412437E+05,5.446693E+00,8.415851E+00,9.471205E+04,8.831189E+04,1.414254E+00,4.565827E+00,5.300796E+04,4.818568E+04 
01:10:00,3.864127E+00,7.774102E+00,1.129129E+05,8.098831E+04,4.132418E+01,8.030303E+01,1.137706E+06,8.387161E+05,5.449239E+00,8.381658E+00,9.470105E+04,8.782578E+04,1.414254E+00,4.564114E+00,5.300796E+04,4.811573E+04 
01:15:00,3.864218E+00,7.763429E+00,1.129133E+05,8.076688E+04,4.132526E+01,8.017183E+01,1.137709E+06,8.362263E+05,5.451747E+00,8.347960E+00,9.469022E+04,8.734521E+04,1.414254E+00,4.562412E+00,5.300796E+04,4.804589E+04 
01:20:00,3.864309E+00,7.753043E+00,1.129136E+05,8.054867E+04,4.132635E+01,8.004402E+01,1.137712E+06,8.337747E+05,5.454218E+00,8.314764E+00,9.467955E+04,8.687031E+04,1.414254E+00,4.560719E+00,5.300796E+04,4.797617E+04 
01:25:00,3.864400E+00,7.742946E+00,1.129139E+05,8.033370E+04,4.132743E+01,7.991962E+01,1.137715E+06,8.313614E+05,5.456652E+00,8.282081E+00,9.466904E+04,8.640116E+04,1.414254E+00,4.559036E+00,5.300796E+04,4.790655E+04 
01:30:00,3.864490E+00,7.733141E+00,1.129143E+05,8.012202E+04,4.132852E+01,7.979864E+01,1.137718E+06,8.289865E+05,5.459050E+00,8.249918E+00,9.465869E+04,8.593787E+04,1.414254E+00,4.557362E+00,5.300796E+04,4.783703E+04 
01:35:00,3.864581E+00,7.723425E+00,1.129146E+05,7.991134E+04,4.132960E+01,7.967899E+01,1.137721E+06,8.266267E+05,5.461412E+00,8.218072E+00,9.464848E+04,8.547815E+04,1.414254E+00,4.555697E+00,5.300796E+04,4.776762E+04 
01:40:00,3.864672E+00,7.713788E+00,1.129150E+05,7.970154E+04,4.133068E+01,7.956052E+01,1.137724E+06,8.242799E+05,5.463740E+00,8.186527E+00,9.463843E+04,8.502181E+04,1.414254E+00,4.554041E+00,5.300796E+04,4.769830E+04 
01:45:00,3.864762E+00,7.704223E+00,1.129153E+05,7.949255E+04,4.133177E+01,7.944313E+01,1.137727E+06,8.219455E+05,5.466034E+00,8.155275E+00,9.462853E+04,8.456876E+04,1.414254E+00,4.552394E+00,5.300796E+04,4.762908E+04 
01:50:00,3.864853E+00,7.694725E+00,1.129156E+05,7.928432E+04,4.133285E+01,7.932678E+01,1.137730E+06,8.196227E+05,5.468293E+00,8.124304E+00,9.461877E+04,8.411887E+04,1.414254E+00,4.550755E+00,5.300796E+04,4.755995E+04 
01:55:00,3.864943E+00,7.685289E+00,1.129160E+05,7.907678E+04,4.133393E+01,7.921141E+01,1.137732E+06,8.173108E+05,5.470520E+00,8.093602E+00,9.460915E+04,8.367201E+04,1.414254E+00,4.549124E+00,5.300796E+04,4.749091E+04 
02:00:00,3.865033E+00,7.675910E+00,1.129163E+05,7.886989E+04,4.133501E+01,7.909696E+01,1.137735E+06,8.150094E+05,5.472715E+00,8.063160E+00,9.459968E+04,8.322808E+04,1.414254E+00,4.547501E+00,5.300796E+04,4.742197E+04 
02:05:00,3.865123E+00,7.666700E+00,1.129166E+05,7.869023E+04,4.133609E+01,7.898481E+01,1.137738E+06,8.129873E+05,5.474877E+00,8.033124E+00,9.459034E+04,8.281405E+04,1.414254E+00,4.545886E+00,5.300796E+04,4.736578E+04 
02:10:00,3.865213E+00,7.657634E+00,1.129170E+05,7.851220E+04,4.133716E+01,7.887462E+01,1.137741E+06,8.109872E+05,5.477008E+00,8.003450E+00,9.458113E+04,8.240410E+04,1.414254E+00,4.544279E+00,5.300796E+04,4.730969E+04 
02:15:00,3.865303E+00,7.648724E+00,1.129173E+05,7.833591E+04,4.133824E+01,7.876640E+01,1.137744E+06,8.090092E+05,5.479109E+00,7.974122E+00,9.457206E+04,8.199805E+04,1.414254E+00,4.542680E+00,5.300796E+04,4.725368E+04 
02:20:00,3.865392E+00,7.639972E+00,1.129176E+05,7.816141E+04,4.133932E+01,7.866017E+01,1.137747E+06,8.070536E+05,5.481179E+00,7.945167E+00,9.456312E+04,8.159618E+04,1.414254E+00,4.541089E+00,5.300796E+04,4.719776E+04 
02:25:00,3.865482E+00,7.631381E+00,1.129180E+05,7.798873E+04,4.134039E+01,7.855596E+01,1.137750E+06,8.051208E+05,5.483219E+00,7.916576E+00,9.455431E+04,8.119842E+04,1.414254E+00,4.539505E+00,5.300796E+04,4.714193E+04 
02:30:00,3.865571E+00,7.622953E+00,1.129183E+05,7.781787E+04,4.134147E+01,7.845377E+01,1.137753E+06,8.032107E+05,5.485230E+00,7.888339E+00,9.454563E+04,8.080463E+04,1.414254E+00,4.537930E+00,5.300796E+04,4.708618E+04 
02:35:00,3.865661E+00,7.614577E+00,1.129186E+05,7.764759E+04,4.134254E+01,7.835222E+01,1.137756E+06,8.013077E+05,5.487212E+00,7.860326E+00,9.453707E+04,8.041337E+04,1.414254E+00,4.536362E+00,5.300796E+04,4.703052E+04 
02:40:00,3.865750E+00,7.606271E+00,1.129190E+05,7.747811E+04,4.134361E+01,7.825159E+01,1.137759E+06,7.994152E+05,5.489166E+00,7.832563E+00,9.452863E+04,8.002492E+04,1.414254E+00,4.534801E+00,5.300796E+04,4.697494E+04 
02:45:00,3.865839E+00,7.598025E+00,1.129193E+05,7.730930E+04,4.134468E+01,7.815186E+01,1.137762E+06,7.975327E+05,5.491092E+00,7.805048E+00,9.452031E+04,7.963926E+04,1.414254E+00,4.533248E+00,5.300796E+04,4.691945E+04 
02:50:00,3.865928E+00,7.589833E+00,1.129196E+05,7.714110E+04,4.134575E+01,7.805297E+01,1.137764E+06,7.956597E+05,5.492991E+00,7.777772E+00,9.451211E+04,7.925629E+04,1.414254E+00,4.531703E+00,5.300796E+04,4.686404E+04 
02:55:00,3.866017E+00,7.581692E+00,1.129199E+05,7.697346E+04,4.134682E+01,7.795487E+01,1.137767E+06,7.937955E+05,5.494863E+00,7.750728E+00,9.450403E+04,7.887592E+04,1.414254E+00,4.530165E+00,5.300796E+04,4.680872E+04 
03:00:00,3.866105E+00,7.573596E+00,1.129203E+05,7.680634E+04,4.134789E+01,7.785752E+01,1.137770E+06,7.919399E+05,5.496709E+00,7.723921E+00,9.449606E+04,7.849822E+04,1.414254E+00,4.528634E+00,5.300796E+04,4.675348E+04 
03:05:00,3.866194E+00,7.565543E+00,1.129206E+05,7.663970E+04,4.134896E+01,7.776089E+01,1.137773E+06,7.900923E+05,5.498529E+00,7.697309E+00,9.448820E+04,7.812273E+04,1.414254E+00,4.527111E+00,5.300796E+04,4.669833E+04 
