,importance,stddev,p_value,n,p99_high,p99_low
duration,0.062000000000000055,0.007549834435270756,0.002453210410302275,3,0.1052613885432887,0.0187386114567114
euribor3m,0.026000000000000023,0.012489995996796807,0.034525331874368625,3,0.09756906212370059,-0.04556906212370054
nr.employed,0.009666666666666676,0.0011547005383792527,0.0023612882854293325,3,0.016283228800612063,0.0030501045327212886
pdays,0.0043333333333333375,0.0025166114784235852,0.04821876954300468,3,0.01875379618109622,-0.010087129514429544
month,0.00366666666666667,0.0005773502691896263,0.004081700932912242,3,0.006974947733639363,0.00035838559969397646
cons.price.idx,0.0020000000000000018,0.0017320508075688791,0.09175170953613697,3,0.011924843200918083,-0.00792484320091808
default,0.001666666666666668,0.0011547005383792527,0.06480586011075541,3,0.008283228800612056,-0.004949895467278719
housing,0.0013333333333333346,0.0011547005383792527,0.09175170953613696,3,0.007949895467278721,-0.005283228800612052
job,0.0013333333333333346,0.001527525231651948,0.13485162832988917,3,0.0100862223036465,-0.00741955563697983
emp.var.rate,0.0013333333333333346,0.002309401076758505,0.21132486540518713,3,0.014566457601224107,-0.011899790934557439
marital,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
previous,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
campaign,0.0010000000000000009,0.0010000000000000009,0.11270166537925828,3,0.006730110893714882,-0.00473011089371488
day_of_week,0.00033333333333333365,0.001527525231651948,0.37090055512641945,3,0.009086222303646498,-0.008419555636979832
contact,0.00033333333333333365,0.001527525231651948,0.37090055512641945,3,0.009086222303646498,-0.008419555636979832
loan,-0.00033333333333333365,0.003055050463303896,0.5662266178532522,3,0.017172444607292996,-0.017839111273959665
poutcome,-0.00033333333333333365,0.0005773502691896262,0.7886751345948129,3,0.0029749477336393597,-0.0036416144003060267
cons.conf.idx,-0.0006666666666666673,0.0005773502691896263,0.908248290463863,3,0.002641614400306026,-0.003974947733639361
education,-0.0013333333333333346,0.0005773502691896263,0.9714045207910317,3,0.001974947733639359,-0.004641614400306028
age,-0.0023333333333333353,0.0011547005383792527,0.9635863249727653,3,0.004283228800612052,-0.008949895467278722
