Time,BASEMENT::Des Heat Load [W],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BASEMENT::Des Heat Mass Flow [kg/s],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_BOTTOM::Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM::Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID::Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID::Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s] 
00:05:00,0.000000E+00,3.964553E+04,0.000000E+00,3.468235E+00,0.000000E+00,4.759846E+04,0.000000E+00,4.163963E+00,0.000000E+00,4.955236E+05,0.000000E+00,4.334890E+01,4.583914E+04,5.360982E+04,1.550105E+00,4.689833E+00,1.245695E+04,6.230183E+03,4.211646E-01,5.451401E-01,8.363997E+03,4.178929E+03,2.827820E-01,3.656578E-01,1.220456E+04,5.913451E+03,4.126315E-01,5.174260E-01,8.345792E+03,4.743199E+03,2.821665E-01,4.150317E-01,1.426509E+05,6.356886E+04,4.822972E+00,5.562263E+00,9.405571E+04,4.246683E+04,3.179971E+00,3.715861E+00,1.412118E+05,6.074640E+04,4.774319E+00,5.315298E+00,9.590587E+04,4.951956E+04,3.242524E+00,4.332976E+00,2.251850E+04,6.747146E+03,7.613455E-01,5.903729E-01,1.466233E+04,4.497604E+03,4.957276E-01,3.935410E-01,2.243034E+04,6.492525E+03,7.583648E-01,5.680935E-01,1.491751E+04,5.171340E+03,5.043551E-01,4.524929E-01 
00:10:00,0.000000E+00,3.958637E+04,0.000000E+00,3.463057E+00,0.000000E+00,4.750385E+04,0.000000E+00,4.155684E+00,0.000000E+00,4.944990E+05,0.000000E+00,4.325924E+01,4.588703E+04,5.338448E+04,1.551724E+00,4.670118E+00,1.244725E+04,6.196647E+03,4.208369E-01,5.422049E-01,8.357745E+03,4.155258E+03,2.825707E-01,3.635860E-01,1.219474E+04,5.882390E+03,4.122996E-01,5.147074E-01,8.339541E+03,4.714133E+03,2.819552E-01,4.124877E-01,1.425243E+05,6.318830E+04,4.818693E+00,5.528956E+00,9.397481E+04,4.220335E+04,3.177236E+00,3.692800E+00,1.410846E+05,6.039080E+04,4.770017E+00,5.284175E+00,9.582497E+04,4.914991E+04,3.239788E+00,4.300623E+00,2.252442E+04,6.693821E+03,7.615455E-01,5.857060E-01,1.466616E+04,4.461354E+03,4.958570E-01,3.903685E-01,2.243628E+04,6.441683E+03,7.585655E-01,5.636439E-01,1.492133E+04,5.124474E+03,5.044843E-01,4.483914E-01 
00:15:00,0.000000E+00,3.952715E+04,0.000000E+00,3.457873E+00,0.000000E+00,4.740897E+04,0.000000E+00,4.147380E+00,0.000000E+00,4.934728E+05,0.000000E+00,4.316943E+01,4.593448E+04,5.315993E+04,1.553329E+00,4.650471E+00,1.243758E+04,6.163355E+03,4.205097E-01,5.392908E-01,8.351504E+03,4.131768E+03,2.823597E-01,3.615299E-01,1.218494E+04,5.851558E+03,4.119682E-01,5.120087E-01,8.333302E+03,4.685262E+03,2.817442E-01,4.099607E-01,1.423979E+05,6.281068E+04,4.814420E+00,5.495905E+00,9.389401E+04,4.194198E+04,3.174504E+00,3.669924E+00,1.409575E+05,6.003807E+04,4.765720E+00,5.253302E+00,9.574416E+04,4.878342E+04,3.237056E+00,4.268547E+00,2.253026E+04,6.640908E+03,7.617431E-01,5.810751E-01,1.466994E+04,4.425395E+03,4.959849E-01,3.872214E-01,2.244215E+04,6.391250E+03,7.587638E-01,5.592301E-01,1.492511E+04,5.077946E+03,5.046120E-01,4.443193E-01 
00:20:00,0.000000E+00,3.946789E+04,0.000000E+00,3.452686E+00,0.000000E+00,4.731391E+04,0.000000E+00,4.139061E+00,0.000000E+00,4.924460E+05,0.000000E+00,4.307958E+01,4.598133E+04,5.293628E+04,1.554913E+00,4.630904E+00,1.242792E+04,6.130328E+03,4.201831E-01,5.364000E-01,8.345273E+03,4.108474E+03,2.821490E-01,3.594911E-01,1.217515E+04,5.820977E+03,4.116373E-01,5.093320E-01,8.327072E+03,4.656609E+03,2.815336E-01,4.074527E-01,1.422717E+05,6.243625E+04,4.810151E+00,5.463132E+00,9.381330E+04,4.168290E+04,3.171775E+00,3.647248E+00,1.408305E+05,5.968845E+04,4.761427E+00,5.222700E+00,9.566344E+04,4.842062E+04,3.234327E+00,4.236793E+00,2.253602E+04,6.588440E+03,7.619377E-01,5.764830E-01,1.467366E+04,4.389748E+03,4.961107E-01,3.841015E-01,2.244792E+04,6.341254E+03,7.589591E-01,5.548544E-01,1.492883E+04,5.031854E+03,5.047377E-01,4.402853E-01 
00:25:00,0.000000E+00,3.940859E+04,0.000000E+00,3.447496E+00,0.000000E+00,4.721877E+04,0.000000E+00,4.130735E+00,0.000000E+00,4.914196E+05,0.000000E+00,4.298975E+01,4.602752E+04,5.271361E+04,1.556475E+00,4.611421E+00,1.241827E+04,6.097585E+03,4.198569E-01,5.335340E-01,8.339052E+03,4.085389E+03,2.819386E-01,3.574703E-01,1.216538E+04,5.790663E+03,4.113070E-01,5.066786E-01,8.320851E+03,4.628188E+03,2.813233E-01,4.049650E-01,1.421456E+05,6.206521E+04,4.805887E+00,5.430655E+00,9.373267E+04,4.142624E+04,3.169049E+00,3.624782E+00,1.407037E+05,5.934210E+04,4.757139E+00,5.192385E+00,9.558281E+04,4.806180E+04,3.231601E+00,4.205387E+00,2.254168E+04,6.536440E+03,7.621292E-01,5.719319E-01,1.467733E+04,4.354426E+03,4.962346E-01,3.810100E-01,2.245361E+04,6.291714E+03,7.591512E-01,5.505186E-01,1.493249E+04,4.986239E+03,5.048614E-01,4.362930E-01 
00:30:00,0.000000E+00,3.934928E+04,0.000000E+00,3.442304E+00,0.000000E+00,4.712358E+04,0.000000E+00,4.122404E+00,0.000000E+00,4.903938E+05,0.000000E+00,4.289997E+01,4.607305E+04,5.249196E+04,1.558015E+00,4.592028E+00,1.240864E+04,6.065140E+03,4.195313E-01,5.306940E-01,8.332839E+03,4.062520E+03,2.817286E-01,3.554686E-01,1.215563E+04,5.760631E+03,4.109771E-01,5.040497E-01,8.314640E+03,4.600013E+03,2.811133E-01,4.024989E-01,1.420196E+05,6.169772E+04,4.801626E+00,5.398489E+00,9.365212E+04,4.117208E+04,3.166326E+00,3.602536E+00,1.405770E+05,5.899916E+04,4.752855E+00,5.162368E+00,9.550225E+04,4.770715E+04,3.228877E+00,4.174346E+00,2.254725E+04,6.484926E+03,7.623176E-01,5.674233E-01,1.468093E+04,4.319441E+03,4.963565E-01,3.779480E-01,2.245920E+04,6.242646E+03,7.593403E-01,5.462240E-01,1.493608E+04,4.941126E+03,5.049831E-01,4.323447E-01 
00:35:00,0.000000E+00,3.933317E+04,0.000000E+00,3.440893E+00,0.000000E+00,4.710205E+04,0.000000E+00,4.120516E+00,0.000000E+00,4.901156E+05,0.000000E+00,4.287560E+01,4.611794E+04,5.233046E+04,1.559533E+00,4.577896E+00,1.240926E+04,6.041739E+03,4.195522E-01,5.286454E-01,8.333237E+03,4.045495E+03,2.817421E-01,3.539782E-01,1.215625E+04,5.739623E+03,4.109982E-01,5.022105E-01,8.315038E+03,4.577737E+03,2.811267E-01,4.005488E-01,1.420269E+05,6.142159E+04,4.801876E+00,5.374316E+00,9.365684E+04,4.097697E+04,3.166485E+00,3.585456E+00,1.405844E+05,5.874755E+04,4.753105E+00,5.140341E+00,9.550697E+04,4.741334E+04,3.229037E+00,4.148629E+00,2.255273E+04,6.440919E+03,7.625029E-01,5.635716E-01,1.468448E+04,4.289314E+03,4.964763E-01,3.753112E-01,2.246470E+04,6.201064E+03,7.595263E-01,5.425845E-01,1.493962E+04,4.901056E+03,5.051028E-01,4.288376E-01 
00:40:00,0.000000E+00,3.931771E+04,0.000000E+00,3.439537E+00,0.000000E+00,4.708230E+04,0.000000E+00,4.118785E+00,0.000000E+00,4.898564E+05,0.000000E+00,4.285288E+01,4.616217E+04,5.217188E+04,1.561029E+00,4.564019E+00,1.240988E+04,6.018600E+03,4.195732E-01,5.266197E-01,8.333635E+03,4.028659E+03,2.817555E-01,3.525043E-01,1.215687E+04,5.718854E+03,4.110192E-01,5.003924E-01,8.315436E+03,4.555690E+03,2.811402E-01,3.986189E-01,1.420343E+05,6.114853E+04,4.802125E+00,5.350415E+00,9.366157E+04,4.078403E+04,3.166645E+00,3.568567E+00,1.405918E+05,5.849884E+04,4.753355E+00,5.118570E+00,9.551170E+04,4.712347E+04,3.229197E+00,4.123257E+00,2.255813E+04,6.397358E+03,7.626853E-01,5.597589E-01,1.468796E+04,4.259495E+03,4.965942E-01,3.727012E-01,2.247011E+04,6.159909E+03,7.597093E-01,5.389824E-01,1.494311E+04,4.861472E+03,5.052205E-01,4.253732E-01 
00:45:00,0.000000E+00,3.930241E+04,0.000000E+00,3.438197E+00,0.000000E+00,4.706322E+04,0.000000E+00,4.117112E+00,0.000000E+00,4.896047E+05,0.000000E+00,4.283083E+01,4.620576E+04,5.201503E+04,1.562503E+00,4.550294E+00,1.241050E+04,5.995599E+03,4.195941E-01,5.246062E-01,8.334033E+03,4.011931E+03,2.817690E-01,3.510400E-01,1.215749E+04,5.698203E+03,4.110402E-01,4.985845E-01,8.315834E+03,4.533790E+03,2.811536E-01,3.967019E-01,1.420417E+05,6.087733E+04,4.802374E+00,5.326675E+00,9.366629E+04,4.059246E+04,3.166805E+00,3.551798E+00,1.405992E+05,5.825181E+04,4.753605E+00,5.096946E+00,9.551642E+04,4.683668E+04,3.229356E+00,4.098156E+00,2.256343E+04,6.354114E+03,7.628646E-01,5.559741E-01,1.469139E+04,4.229900E+03,4.967102E-01,3.701110E-01,2.247543E+04,6.119054E+03,7.598893E-01,5.354067E-01,1.494653E+04,4.822287E+03,5.053363E-01,4.219438E-01 
00:50:00,0.000000E+00,3.928727E+04,0.000000E+00,3.436871E+00,0.000000E+00,4.704465E+04,0.000000E+00,4.115485E+00,0.000000E+00,4.893592E+05,0.000000E+00,4.280933E+01,4.624872E+04,5.185973E+04,1.563955E+00,4.536706E+00,1.241112E+04,5.972715E+03,4.196151E-01,5.226030E-01,8.334431E+03,3.995299E+03,2.817824E-01,3.495841E-01,1.215811E+04,5.677648E+03,4.110612E-01,4.967852E-01,8.316231E+03,4.512024E+03,2.811671E-01,3.947967E-01,1.420490E+05,6.060774E+04,4.802624E+00,5.303078E+00,9.367101E+04,4.040211E+04,3.166965E+00,3.535137E+00,1.406066E+05,5.800623E+04,4.753855E+00,5.075450E+00,9.552115E+04,4.655281E+04,3.229516E+00,4.073310E+00,2.256865E+04,6.311165E+03,7.630410E-01,5.522152E-01,1.469477E+04,4.200513E+03,4.968243E-01,3.675391E-01,2.248067E+04,6.078476E+03,7.600663E-01,5.318553E-01,1.494990E+04,4.783485E+03,5.054502E-01,4.185479E-01 
