<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,100100,1148.9000000,1148.9000000,1148.9000000,1148.9000000,0
20160104,100200,1148.9000000,1148.9000000,1148.9000000,1148.9000000,50
20160104,100300,1149.0000000,1149.0000000,1149.0000000,1149.0000000,33
20160104,100400,1149.0000000,1149.0000000,1149.0000000,1149.0000000,4
20160104,100500,1153.0000000,1153.0000000,1153.0000000,1153.0000000,0
20160104,100600,1156.9000000,1157.9000000,1153.0000000,1153.0000000,43
20160104,100700,1150.6000000,1150.6000000,1150.4000000,1150.4000000,5
20160104,100800,1150.2000000,1150.2000000,1150.2000000,1150.2000000,4
20160104,100900,1150.5000000,1150.5000000,1150.5000000,1150.5000000,2
20160104,101000,1150.0000000,1150.0000000,1150.0000000,1150.0000000,43
20160104,101100,1149.7000000,1149.7000000,1149.7000000,1149.7000000,0
20160104,101200,1150.2000000,1150.2000000,1149.5000000,1149.7000000,165
20160104,101300,1149.9000000,1149.9000000,1149.9000000,1149.9000000,0
20160104,101400,1149.9000000,1149.9000000,1149.9000000,1149.9000000,0
20160104,101500,1149.9000000,1149.9000000,1149.9000000,1149.9000000,6
20160104,101600,1150.0000000,1150.0000000,1150.0000000,1150.0000000,0
20160104,101700,1149.9000000,1150.0000000,1149.9000000,1150.0000000,10
20160104,101800,1150.8000000,1150.8000000,1150.8000000,1150.8000000,0
20160104,101900,1150.8000000,1150.8000000,1150.8000000,1150.8000000,0
20160104,102000,1150.8000000,1150.8000000,1150.8000000,1150.8000000,0
20160104,102100,1150.8000000,1150.8000000,1150.8000000,1150.8000000,0
20160104,102200,1150.0000000,1150.8000000,1150.0000000,1150.8000000,4
20160104,102300,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,102400,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,102500,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,102600,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,102700,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,102800,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,102900,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,103000,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,103100,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,103200,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,103300,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,103400,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,103500,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,103600,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,103700,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,103800,1150.7000000,1150.7000000,1150.7000000,1150.7000000,9
20160104,103900,1150.8000000,1150.8000000,1150.8000000,1150.8000000,20
20160104,104000,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,104100,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,104200,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
20160104,104300,1150.7000000,1150.7000000,1150.7000000,1150.7000000,0
