,policy_id,driver_relationship_child,policy_state_nv,authorities_contacted_fire,collision_type_front,incident_day,policy_deductable,num_vehicles_involved,num_claims_past_year,policy_state_wa,policy_state_id,policy_liability,incident_type_collision,collision_type_side,customer_gender_female,authorities_contacted_ambulance,driver_relationship_na,num_insurers_past_5_years,policy_state_az,incident_type_theft,authorities_contacted_police,policy_state_ca,num_injuries,incident_month,customer_age,authorities_contacted_none,num_witnesses,total_claim_amount,policy_annual_premium,customer_gender_male,months_as_customer,driver_relationship_spouse,vehicle_claim,policy_state_or,police_report_available,incident_dow,fraud,injury_claim,incident_severity,incident_type_breakin,collision_type_rear,incident_hour,driver_relationship_self,driver_relationship_other,auto_year,customer_education,collision_type_na
0,1669,0,0,0,0,8,750,3,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,3,46,0,1,7500.0,3000,1,158,1,7500.0,0,1,4,0,0.0,0,0,0,11,0,0,2014,3,0
1,1677,0,0,0,0,7,750,3,0,0,0,3,1,1,1,0,0,2,0,0,1,1,0,11,44,0,3,15500.0,2600,0,55,1,15500.0,0,1,3,0,0.0,0,0,0,15,0,0,2019,4,0
2,1691,0,0,0,1,16,750,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,9,53,0,1,39500.0,2600,1,213,0,39500.0,0,1,0,0,0.0,2,0,0,12,1,0,2016,3,0
3,8,0,0,0,0,19,750,2,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,1,35,0,0,9000.0,2950,1,69,0,9000.0,0,0,5,0,0.0,0,0,1,7,1,0,2019,3,0
4,18,0,0,0,1,17,750,3,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,11,33,0,1,19000.0,3000,1,74,0,19000.0,0,1,6,0,0.0,1,0,0,20,1,0,2012,1,0
5,33,0,0,0,1,14,750,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,9,59,1,0,28500.0,3000,1,52,0,13500.0,0,0,5,0,15000.0,0,0,0,10,1,0,2017,3,0
6,1733,0,1,0,0,3,750,2,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,3,34,0,0,37500.0,3000,0,45,0,16500.0,0,1,6,0,21000.0,1,0,0,16,1,0,2017,1,0
7,1733,0,0,0,0,3,750,2,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,3,39,0,0,37500.0,3000,0,96,0,16500.0,0,1,6,0,21000.0,1,0,0,16,1,0,2015,1,0
8,40,0,0,0,1,6,750,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,5,51,1,1,10000.0,2700,0,117,0,10000.0,0,0,0,0,0.0,0,0,0,8,1,0,2014,1,0
9,49,0,0,0,0,22,750,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,12,51,0,0,4000.0,3000,1,129,0,4000.0,0,0,6,0,0.0,0,1,0,18,0,0,2013,3,1
