policy_id,customer_age,months_as_customer,num_claims_past_year,num_insurers_past_5_years,policy_state,policy_deductable,policy_annual_premium,policy_liability,customer_zip,customer_gender,customer_education,auto_year
1,54,94,0,1,WA,750,3000,25/50,99207,Unkown,Associate,2006
2,41,165,0,1,CA,750,2950,15/30,95632,Male,Bachelor,2012
3,57,155,0,1,CA,750,3000,15/30,93203,Female,Bachelor,2017
4,39,80,0,1,AZ,750,3000,30/60,85208,Female,Advanced Degree,2020
5,39,60,0,1,CA,750,3000,15/30,91792,Female,High School,2018
6,59,141,0,1,CA,750,3000,30/60,92173,Unkown,Bachelor,2016
7,35,53,1,2,CA,750,3000,25/50,91311,Male,High School,2014
8,55,105,0,1,WA,750,3000,25/50,98542,Female,Bachelor,2010
9,35,52,0,2,OR,750,3000,100/200,97302,Male,Advanced Degree,2016
10,35,64,0,1,WA,750,3000,100/200,98684,Female,Associate,2018
11,49,83,0,1,NV,750,3000,25/50,89030,Male,Advanced Degree,2016
12,33,20,0,2,CA,750,2900,15/30,92344,Male,Bachelor,2016
13,24,1,0,1,CA,750,3000,25/50,91724,Female,Advanced Degree,2014
14,50,216,0,1,AZ,750,3000,100/200,85310,Female,Bachelor,2016
15,26,93,0,1,AZ,750,3000,30/60,85286,Male,High School,2018
16,39,6,0,2,WA,750,2750,25/50,98290,Female,High School,2009
17,45,121,0,1,CA,750,3000,25/50,92055,Female,Bachelor,2020
18,33,74,0,1,CA,750,3000,25/50,94520,Male,High School,2012
19,46,127,3,1,CA,750,3000,25/50,92672,Female,Bachelor,2019
20,21,18,1,3,CA,750,3000,25/50,91355,Female,Bachelor,2018
21,52,207,0,1,CA,750,3000,15/30,93030,Female,Advanced Degree,2016
22,32,55,0,2,AZ,750,3000,25/50,85350,Male,Bachelor,2019
23,38,19,0,5,CA,750,3000,30/60,90020,Male,Bachelor,2007
24,32,90,0,1,CA,750,3000,25/50,91360,Female,Advanced Degree,2018
25,44,101,0,1,ID,750,2750,25/50,83401,Unkown,Advanced Degree,2014
26,23,18,0,5,CA,750,3000,15/30,91741,Female,High School,2017
27,60,47,0,2,CA,750,3000,25/50,91722,Male,Bachelor,2019
28,20,2,0,1,WA,750,3000,25/50,98125,Female,Associate,2020
29,48,26,0,3,AZ,750,2800,15/30,85143,Female,Bachelor,2018
30,48,12,0,1,CA,750,3000,30/60,95356,Male,Associate,2017
31,59,157,0,1,AZ,750,2650,25/50,85208,Unkown,Advanced Degree,2016
32,47,22,0,2,CA,750,3000,25/50,92120,Unkown,Bachelor,2003
33,42,163,1,1,WA,750,3000,100/200,98122,Male,Bachelor,2016
34,38,161,1,1,CA,750,3000,15/30,95831,Unkown,Advanced Degree,2016
35,30,53,0,1,CA,750,2850,15/30,92882,Male,High School,2016
36,35,47,0,3,CA,750,3000,15/30,93463,Female,Bachelor,2017
37,65,81,0,1,WA,750,3000,25/50,98661,Male,Bachelor,2020
38,51,98,0,1,WA,750,3000,30/60,98203,Male,High School,2017
39,50,24,0,4,AZ,750,3000,30/60,86404,Female,Bachelor,2017
40,36,117,0,1,CA,750,2850,15/30,90808,Female,High School,2018
41,30,102,0,1,WA,750,3000,25/50,98296,Male,Advanced Degree,2019
42,56,67,0,1,CA,750,2600,25/50,90802,Female,Associate,2017
43,65,167,0,1,CA,750,2500,15/30,94706,Male,Associate,2010
44,63,132,0,1,CA,750,2600,25/50,90504,Male,Bachelor,2016
45,27,85,0,1,CA,750,3000,15/30,93060,Male,High School,2019
46,38,112,0,1,CA,750,2750,25/50,90501,Female,Associate,2013
47,51,167,0,1,AZ,750,2650,15/30,85282,Male,Bachelor,2007
48,64,363,0,1,CA,750,3000,15/30,91801,Male,Associate,2014
49,34,39,3,1,CA,750,3000,15/30,95446,Male,Bachelor,2018
50,40,42,2,3,WA,750,3000,25/50,98020,Male,Bachelor,2014
51,22,53,0,1,CA,750,3000,30/60,93722,Female,Bachelor,2011
52,20,2,0,3,CA,750,3000,15/30,94112,Unkown,Bachelor,2017
53,60,92,0,1,CA,750,3000,100/200,95367,Male,Associate,2014
54,43,4,0,4,CA,750,3000,30/60,95341,Unkown,High School,2020
55,64,135,1,1,OR,750,3000,25/50,97845,Female,Bachelor,2020
56,51,117,0,1,NV,750,3000,25/50,89103,Female,Advanced Degree,2011
57,31,71,0,1,CA,750,2700,15/30,91786,Female,High School,2020
58,51,146,0,1,CA,750,3000,15/30,92336,Female,Bachelor,2009
