fraud,driver_relationship_child,policy_state_nv,authorities_contacted_fire,collision_type_front,incident_day,policy_deductable,num_vehicles_involved,num_claims_past_year,policy_state_wa,policy_state_id,policy_liability,incident_type_collision,collision_type_side,customer_gender_female,authorities_contacted_ambulance,driver_relationship_na,num_insurers_past_5_years,policy_state_az,incident_type_theft,authorities_contacted_police,policy_state_ca,num_injuries,incident_month,customer_age,authorities_contacted_none,num_witnesses,total_claim_amount,policy_annual_premium,customer_gender_male,months_as_customer,driver_relationship_spouse,vehicle_claim,policy_state_or,police_report_available,incident_dow,injury_claim,incident_severity,incident_type_breakin,collision_type_rear,incident_hour,driver_relationship_self,driver_relationship_other,auto_year,customer_education,collision_type_na
0,0,0,0,0,27,750,3,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,10,51,0,2,56371.0,3000,1,86,0,24171.0,0,1,6,32200.0,2,0,0,9,1,0,2012,3,0
0,0,0,0,0,4,750,2,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,4,32,0,0,43000.0,3000,1,43,0,43000.0,0,0,3,0.0,2,0,0,12,1,0,2019,3,0
0,1,0,0,0,25,750,2,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,6,36,0,0,12500.0,2700,1,64,0,12500.0,0,1,1,0.0,1,0,1,7,0,0,2011,1,0
0,0,0,0,1,18,750,3,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,6,34,0,1,23509.0,3000,1,130,0,17109.0,0,1,1,6400.0,1,0,0,10,1,0,2018,2,0
0,0,0,0,1,31,750,4,0,0,0,2,1,0,0,0,0,2,0,0,1,1,2,7,23,0,5,77136.0,2750,1,44,0,40836.0,0,1,2,36300.0,2,0,0,16,1,0,2016,3,0
0,0,0,0,0,8,750,1,0,1,0,3,0,0,1,0,1,2,0,1,1,0,0,10,40,0,0,15500.0,3000,0,58,0,15500.0,0,0,1,0.0,1,0,0,1,0,0,2013,4,1
0,0,0,0,1,18,750,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,11,54,1,0,16500.0,2550,0,120,1,16500.0,0,0,0,0.0,0,0,0,10,0,0,2016,3,0
0,0,0,0,1,11,750,3,0,0,0,3,1,0,0,0,0,1,0,0,1,1,0,8,45,0,1,40570.0,3000,1,141,0,13170.0,0,1,6,27400.0,0,0,0,1,0,1,2018,1,0
0,1,0,0,1,26,750,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,42,1,1,27323.0,3000,0,99,0,7723.0,0,0,1,19600.0,0,0,0,12,0,0,2016,1,0
0,0,0,0,1,19,800,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,48,1,0,30115.0,2750,1,115,0,12715.0,0,0,1,17400.0,0,0,0,8,1,0,2018,4,0
0,0,0,0,1,25,750,3,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,2,54,0,3,7000.0,3000,1,43,0,7000.0,0,1,0,0.0,1,0,0,11,1,0,2017,3,0
0,0,0,0,1,11,750,1,0,1,0,2,1,0,1,0,0,1,0,0,1,0,0,5,63,0,0,28226.0,3000,0,147,0,15826.0,0,0,5,12400.0,1,0,0,13,1,0,2015,3,0
0,0,0,0,0,27,750,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,10,60,0,0,30281.0,3000,0,74,0,19181.0,0,0,6,11100.0,1,1,0,5,0,0,2019,3,1
0,0,0,0,0,22,750,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,38,0,0,21235.0,3000,1,81,0,19135.0,0,0,1,2100.0,1,0,0,8,0,0,2020,4,1
0,0,0,0,0,12,750,2,0,0,0,0,1,0,0,0,0,4,0,0,1,1,2,9,46,0,0,33356.0,3000,1,34,0,16756.0,0,1,3,16600.0,1,0,1,8,1,0,2018,3,0
