Id,Model,Year,Status,Mileage,Price,MSRP
96864,6110,2019 Tesla Model 3 Standard Range,2019,Used,"50,412 mi.","$31,924.00",Not specified
51128,7439,2016 Hyundai Sonata Sport,2016,Used,"97,237 mi.","$13,492.00",Not specified
85327,4565,2021 Porsche Cayenne GTS,2021,Used,"23,375 mi.","$105,495.00",Not specified
110510,4758,2020 Volkswagen Passat 2.0T SE,2020,Used,"46,249 mi.","$22,899.00",Not specified
74498,3836,2023 Mercedes-Benz EQS 450+ EQS 450 4MATIC,2023,New,Not available,"$112,745.00",Not specified
103711,3787,2023 Toyota Venza LE,2023,New,Not available,"$39,224.00",Not specified
29375,97,2022 Dodge Challenger R/T Scat Pack,2022,New,Not available,"$62,985.00",Not specified
41662,2511,2022 Ford F-250 XLT,2022,New,Not available,"$63,500.00","MSRP $64,500"
60265,8276,2023 INFINITI QX50 Luxe,2023,New,Not available,"$49,100.00",Not specified
2206,2206,2020 Acura RDX Technology Package,2020,Used,"24,712 mi.","$35,955.00",Not specified
100010,86,2023 Toyota GR86 Premium,2023,New,Not available,"$35,683.00",$333 price drop
54283,2294,2019 INFINITI QX50 ESSENTIAL,2019,Used,"34,986 mi.","$29,999.00",Not specified
30829,1551,2022 Dodge Durango Citadel,2022,New,Not available,"$59,106.00",Not specified
50828,7139,2023 Hyundai Santa Cruz 2.5T SEL Premium,2023,New,Not available,"$39,385.00","MSRP $39,385"
85246,4484,2019 Porsche 911 GT3 RS,2019,Used,"4,241 mi.","$254,888.00",Not specified
114257,8505,2018 Volkswagen Beetle 2.0T S,2018,Used,"46,926 mi.","$25,594.00",Not specified
34452,5174,2008 Dodge Charger SXT,2008,Used,"133,467 mi.","$6,495.00",Not specified
68825,8148,2011 Lexus IS-F Base,2011,Used,"36,800 mi.","$54,999.00",Not specified
99988,64,2023 Toyota Tundra Platinum,2023,New,Not available,"$66,483.00",Not specified
99824,9070,2023 Tesla Model 3 Base,2023,Used,"2,056 mi.","$45,888.00",Not specified
103430,3506,2023 Toyota Camry XSE,2023,New,Not available,"$38,246.00",Not specified
42818,3667,2017 Ford Focus ST Base,2017,Used,"64,421 mi.","$19,900.00",Not specified
825,825,2020 Acura RDX Technology Package,2020,Used,"57,295 mi.","$31,881.00",Not specified
98270,7516,2020 Tesla Model 3 Standard Range Plus,2020,Used,"8,817 mi.","$44,900.00",Not specified
56852,4863,2019 INFINITI Q50 3.0t Signature Edition,2019,Used,"39,621 mi.","$27,500.00",Not specified
108336,2584,2022 Volkswagen Atlas 3.6L SE w/Technology,2022,New,Not available,"$46,550.00",Not specified
63813,3136,2021 Lexus RX 350L Premium,2021,Used,"16,560 mi.","$47,987.00","$2,000 price drop"
100655,731,2023 Toyota Tundra Hybrid Platinum,2023,New,Not available,"$69,346.00",Not specified
84924,4162,2014 Porsche 911 Carrera,2014,Used,"43,484 mi.","$67,950.00",$550 price drop
113714,7962,2018 Volkswagen Atlas 3.6L SE,2018,Used,"62,614 mi.","$24,191.00",Not specified
63736,3059,2018 Lexus RX 350L Premium,2018,Used,"34,918 mi.","$36,995.00",Not specified
86932,6170,2012 Porsche Panamera 4,2012,Used,"42,986 mi.","$33,995.00",Not specified
46008,2319,2023 Hyundai Palisade XRT,2023,New,Not available,"$42,470.00",Not specified
96253,5499,2022 Tesla Model 3 Performance,2022,Used,"16,244 mi.","$49,999.00",Not specified
6305,6305,2006 Acura TSX Base (A5),2006,Used,"84,825 mi.","$11,450.00",Not specified
