f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,1620426219.5977669,86691581-c6e4-4223-a586-92f42d2487da
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,1620426219.5977669,0d178b8f-539b-43fb-996f-0ce39655fa35
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,1620426219.5977669,ac1f9e65-991c-4b1b-880b-ca8a06b407bd
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,1620426219.5977669,78c2523b-227a-4b80-a41f-5af0faa82858
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,1620426219.5977669,2010f07c-163c-48bb-a150-7644a13a00b7
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,1620426219.5977669,ba1f8ad3-20ab-4174-a55c-e1a591fed775
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,1620426219.5977669,e12332f1-22b2-4d6b-ab21-8466cc715f4f
M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,1620426219.5977669,1d41ffc3-d8e8-4c18-a241-0d850be6430d
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,1620426219.5977669,076497c3-e04e-4ede-bfe6-c3920bec4920
F,0.525,0.38,0.14,0.6065,0.19399999999999998,0.1475,0.21,14,1620426219.5977669,8eed62f9-8cc8-484f-873f-181d4bb25376
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,1620426219.5977669,4bfadbd1-3cab-4ea9-b79c-601f9993914b
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,1620426219.5977669,21ca31b1-19c5-477b-94d7-5395860ecc36
F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,1620426219.5977669,f19c4f32-4f1d-4ffd-a254-99811cd3c4e2
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,1620426219.5977669,65d27cb3-d88e-4cf0-8309-bcb3e6f43374
M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,1620426219.5977669,b906920b-67c2-4b9a-b8cd-bacd5fd96a57
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,1620426219.5977669,5ca156c0-d233-4c04-8787-0ac48ff0936a
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,1620426219.5977669,bc88e01e-401d-417a-8d89-fabd12ea142c
