userId,user_churned,average_events_weekend,average_events_weekday,num_songs_played_7d,num_ads_7d,num_error_7d,num_songs_played_30d,num_songs_played_90d,num_sessions,avg_time_per_session,avg_events_per_session,avg_gap_between_session,num_events,num_songs,num_artists,num_thumbs_down,num_thumbs_up,num_add_to_playlist,num_ads,num_add_friend,num_downgrade,num_upgrade,num_error,percentage_ad,days_since_active,repeats_ratio
11001,0,94.9375,76.30434782608695,4135,7,1,4135,4135,51,20084.78431372549,98.6078431372549,6.58,5029,4135,2303,50,293,140,7,81,1,1,1,0.0013919268244183733,359,0.1794437726723096
11002,0,70.5,76.66666666666667,476,1,0,476,476,7,16570.0,85.85714285714286,35.666666666666664,601,476,398,3,41,16,1,14,1,0,0,0.001663893510815308,265,0.05252100840336138
11003,1,98.75,120.875,3867,12,9,3867,3867,37,25888.62162162162,125.89189189189187,1.25,4658,3867,2164,30,272,103,12,69,1,1,9,0.0025762129669386004,66,0.1753297129557797
11004,1,70.0,120.44444444444444,1084,2,1,1084,1084,7,38804.0,184.85714285714286,6.0,1294,1084,824,16,68,30,2,9,1,0,1,0.0015455950540958269,48,0.07656826568265684
11005,0,58.88888888888889,89.2142857142857,3552,4,3,3552,3552,43,20556.06976744186,99.46511627906976,7.476190476190476,4277,3552,2071,30,261,98,4,56,1,0,3,0.0009352349777881693,346,0.16159909909909909
11006,0,73.4,86.44444444444444,938,2,0,938,938,13,17794.0,88.07692307692308,22.5,1145,938,739,4,66,30,2,25,1,1,0,0.0017467248908296946,293,0.06609808102345416
11007,1,126.13333333333334,95.53763440860214,8853,76,5,8853,8853,104,21226.17307692308,103.625,2.7281553398058254,10777,8853,3791,95,594,265,76,166,1,1,5,0.0070520553029600076,341,0.2677058624195188
11008,1,47.5,56.77777777777778,487,10,1,487,487,11,11398.272727272728,55.09090909090909,12.7,606,487,414,3,32,21,10,7,1,1,1,0.0165016501650165,140,0.03490759753593431
11009,1,98.5,75.97777777777776,3477,27,1,3477,3477,48,17894.541666666668,87.64583333333331,4.723404255319148,4207,3477,1981,27,223,118,27,67,1,1,1,0.0064178749702876155,263,0.16796088582111013
11010,0,149.45454545454547,77.55319148936171,4346,19,3,4346,4346,51,21312.176470588234,103.70588235294115,6.3,5289,4346,2300,38,311,140,19,84,1,1,3,0.003592361505010399,363,0.1914404049700874
11011,1,31.0,74.64406779661017,4019,11,5,4019,4019,66,15043.348484848484,73.3030303030303,4.907692307692308,4838,4019,2230,29,256,119,11,82,1,1,5,0.002273666804464655,367,0.18263249564568296
11012,0,44.5,72.39024390243901,2605,41,2,2605,2605,43,14938.162790697674,75.23255813953489,7.666666666666668,3235,2605,1633,26,190,83,41,57,1,1,2,0.01267387944358578,352,0.14126679462571978
11013,1,82.1842105263158,106.92156862745098,16083,52,16,16083,16083,184,21724.505434782608,105.8804347826087,1.2459016393442623,19482,16083,5428,155,1103,502,52,281,1,1,16,0.0026691304794168977,318,0.349126406764907
11014,1,131.0,77.1875,1428,0,3,1428,1428,19,18344.157894736843,92.57894736842104,15.277777777777779,1759,1428,1019,20,99,44,0,48,1,0,3,0.0,318,0.1022408963585434
11015,1,77.14285714285714,83.15789473684211,3025,27,3,3025,3025,43,17513.697674418603,86.046511627907,2.6666666666666665,3700,3025,1855,37,209,112,27,63,1,1,3,0.0072972972972972965,152,0.14942148760330576
11016,1,112.5,52.5,279,1,0,279,279,3,21760.33333333333,110.0,2.0,330,279,254,3,17,3,1,2,1,0,0,0.0030303030303030303,15,0.021505376344086
